zh;en;carbohydrates;energy;fat;fat_saturated;fiber;proteins;salt;sodium;sugars
塔博勒沙拉（库斯库斯，已制）;Taboulé, prepared (with Couscous);16;135;6;0,8;1,4;3;2;170;1,3
自制菜籽油蛋黄酱鞑靼酱;Tartare sauce, home made with rapeseed mayonnaise;2;385;40;4;0,6;3,6;6,7;140;1,8
茶（无糖）;Tea, no sugar added;0;0;0;0;0;0;1;0;0
含鸡蛋面食（盐水煮，无碘盐）;Pasta with egg, cooked in salted water (uniodised);26;140;1;0,1;1,3;5;1,4;340;1,4
干含鸡蛋面食;Pasta with egg, dry;70;365;3;0,4;3,4;13,3;3,3;17;3,6
无鸡蛋面食（盐水煮，无碘盐）;Pasta egg-free, cooked in salted water (uniodised);33;165;1;0,1;2,4;5,8;0,7;420;0,2
干无鸡蛋面食;Pasta egg-free, dry;71;355;1;0,2;5,1;12,5;1;5;0,4
全麦无鸡蛋面食（盐水煮，无碘盐）;Wholemeal pasta egg-free, cooked in salted water (uniodised);28;160;1;0,2;5,4;6,2;1,1;420;0,3
干全麦无鸡蛋面食;Wholemeal pasta egg-free, dry;61;345;3;0,4;11,5;13,4;2;5;0,7
火腿面食焗烤（已制）;Pasta gratin with ham, prepared;15;170;7;3,4;1;10,4;11;470;1,4
法式酱汁面食沙拉;Pasta salad with French dressing;13;135;6;0,9;1,3;5,5;4,6;300;1
意式酱汁面食沙拉;Pasta salat with Italian dressing;13;135;6;1;1,3;5,4;4,4;280;1
巴氏杀菌部分脱脂牛奶;Milk partially skimmed, pasteurized;5;60;3;1,6;0;3,2;6,3;39;4,7
UHT 部分脱脂牛奶;Milk partially skimmed, UHT;5;60;3;1,7;0;3,4;8,5;38;4,6
提契诺白面包;White bread from Ticino;57;325;5;0,7;2,9;10,3;1;670;0,6
德莫瓦纳奶酪;Tête de Moine;0;420;36;21,3;0;24,7;28;930;0
油浸金枪鱼（沥干）;Tuna in oil, drained;0;190;8;1,5;0;27,6;43;350;0
水浸金枪鱼（沥干）;Tuna in water, drained;0;120;2;0,5;0;25,6;0;420;0
油醋汁金枪鱼沙拉（水浸金枪鱼制）;Tuna salad on oil-vinagre-dressing (made from tuna in water);7;110;5;0,7;1,1;9;0,3;330;3,2
生金枪鱼;Fish, tuna, raw;0;150;6;1,8;0;23,4;50;39;0
新鲜百里香;Thyme, fresh;7;55;1;0,6;3;1,5;1;9;7,3
巴氏杀菌蒂尔西特奶酪（至少45%脂肪干物质）;Tilsiter, pasteurized milk, at least 45% fidm;0;355;28;16,8;0;24,6;7,2;550;0
生乳蒂尔西特奶酪（至少45%脂肪干物质）;Tilsiter, raw milk, at least 45% fidm;0;380;30;18,1;0;26,1;7,9;690;0
蒂罗尔蛋糕;Tyrolese cake;41;415;23;10,3;2,5;8,1;8,2;53;20,5
白吐司面包（黄油）;Bread for toasting, white, made with butter;46;320;10;5,9;2,2;8,9;4,8;540;2,7
白吐司面包（植物油）;Bread for toasting, white, made with vegetable oil;46;335;12;2;2,2;8,9;4,8;540;2,7
豆腐;Tofu;1;85;5;0,1;1,2;8,1;10;7;0
炖番茄（无油无盐）;Tomato, stewed (without addition of fat and salt);4;30;0;0;1,6;1;1,4;2,1;4,2
去皮番茄（罐头）;Tomato, peeled (pelati), canned;3;20;0;0;1;0,9;2;100;2,9
生番茄;Tomato, raw;3;25;0;0;1,2;0,8;1,1;1,6;3,2
番茄蛋奶饼（酥皮，烘烤）;Tomato quiche, baked (with puff pastry);10;160;11;6,2;1;3,5;5,5;140;2,6
番茄蛋奶饼（蛋糕面团，烘烤）;Tomato quiche, baked (with cake dough);12;150;9;4,8;1,1;3,9;5,5;150;2,6
番茄泥;Tomato paste;13;80;0;0;2,8;4,5;4;240;12,4
番茄汁;Tomato juice;3;15;0;0;0,1;0,8;2;220;2,1
番茄酱;Tomato sauce;10;70;2;0,5;1,9;1,8;1,6;540;4,1
番茄汤;Tomato soup;7;45;1;0,5;0,7;1;3;410;3,5
托姆奶酪;Tomme cheese;0;290;23;13,5;0;20,7;0;720;0
新鲜葡萄;Grape, fresh;15;70;0;0,1;1,5;0,7;1;2;15
葡萄籽油;Grape seed oil;0;810;90;9;0;0;0;0;0
葡萄汁;Grape juice;15;65;0;0;0;0,2;1;2;14,8
葡萄糖;Glucose;100;400;0;0;0;0;0;0;99,8
饮用水（瑞士平均值）;Drinking water (average Switzerland);0;0;0;0;0;0;0;1;0
风干肉（霍贝尔、格劳宾登、瓦莱、提契诺风干肉）;Dried meat (Hobel-, Bündner-, Walliser-, Tessiner- dried meat);0;190;4;1,6;0;39,3;0;1620;0,4
火鸡胸肉（肉排/肉丝，生）;Turkey, breast (schnitzel, ground), raw;0;110;1;0,3;0;24;1,5;63;0
蒙特多尔瓦什寒奶酪;Vacherin Mont d'or;0;280;23;13,9;0;17,6;20;690;0
香草奶油酱（已煮）;Vanille cream, cooked;24;140;4;2;0;3,2;7,6;31;23,8
油醋汁（菜籽油）;Vinaigrette dressing (with rapeseed oil);2;260;25;2,6;0,5;4,4;11;120;1,9
金枪鱼酱小牛肉（配菜）;Vitello tonnato with garnish;1;180;11;2,5;0,2;19,2;13;250;0,6
金枪鱼酱小牛肉（无配菜）;Vitello tonnato without garnish;1;210;13;2,9;0;23,2;13;280;0,3
全麦米饼;Wholemeal rice waffles;82;395;3;0,6;4,2;8,2;0;330;1,5
巴氏杀菌全脂牛奶;Whole milk, pasteurized;5;70;4;2,4;0;3,3;10;39;4,7
UHT 全脂牛奶;Whole milk, UHT;5;70;4;2,5;0;3,3;9,4;39;4,6
全脂奶粉;Whole milk powder;35;480;26;15,7;0;24,7;27;370;35,1
巴氏杀菌奶油（35%脂肪）;Cream, 35% fat, pasteurized;3;335;35;20,8;0;2;7;35;3,1
UHT 奶油（35%脂肪）;Cream, 35% fat, UHT;3;335;35;20,8;0;2;6,1;25;3,1
猪前腿火腿;Pork, ham from shoulder, raw;0;110;3;1,2;0;18,6;3,6;870;0,4
优质黄油;Butter of choice;1;750;82;49,4;0;0,7;8;10;0,6
瓦莱黑麦面包;Rye bread from Valais;43;220;1;0,1;7;6,3;3,1;570;0,6
山葵酱;Wasabi Paste;50;310;11;;1,3;2,9;;2330;
水冰棍;Water ice;22;90;0;0;0;0;0;0;22
新鲜西瓜;Watermelon, fresh;6;30;0;0;0,3;0,5;10;2;6,3
软焦糖糖果;Soft caramel candies;71;450;17;10,1;0;2,1;0;320;71,1
软质奶酪（平均，不含低脂产品）;Soft cheese (average without fat reduced products);0;325;27;16,5;0;19,3;17;880;0
双倍奶油软质奶酪（60%脂肪干物质）;Soft cheese, 60% fidm;0;365;35;21;0;12;20;700;0
红葡萄酒（12 vol%）;Wine red, 12 vol%;0;70;0;0;0;0,2;10;5;0,3
红葡萄酒（13.5 vol%）;Wine red, 13.5 vol%;0;80;0;;0;0;;;0,2
红葡萄酒（9 vol%）;Wine red, 9 vol%;0;55;0;0;0;0,2;10;5;0,2
白葡萄酒（11 vol%）;Wine white, 11 vol%;2;70;0;0;0;0,1;10;5;2
白葡萄酒（12.5 vol%）;Wine white, 12.5 vol%;0;75;0;0;0;0,2;10;2;0,1
白葡萄酒汽酒（酸）;Wine white, spritzer, sour;0;35;0;0;0;0,1;5;1,5;0
白葡萄酒汽酒（甜）;Wine white, spritzer, sweet;5;55;0;0;0;0,1;5,9;2,5;4,8
白面包;White bread;49;245;1;0,2;2,5;8,5;0,8;680;0,2
蒸白甘蓝（无盐）;White cabbage, steamed (without addition of salt);4;30;0;0;3;1,4;2,8;4,1;4,1
炖白甘蓝（无油无盐）;White cabbage, stewed (without addition of fat and salt) ;5;35;0;0;3,2;1,5;3,1;4,5;4,4
生白甘蓝;White cabbage, raw;4;30;0;0;3;1,4;3;4,8;4,1
白香肠;Weisswurst (veal sausage);1;205;18;6,8;0,2;9,8;4,6;6010;0,8
软质小麦全粒;Wheat, soft, whole grain;60;325;2;0,3;13,3;10,9;6,7;7,7;1,1
全麦小麦片;Wheat wolemeal flakes;61;330;2;0,3;10,3;11,7;2,7;8;0,7
小麦胚芽;Wheat germ;33;355;10;1,5;15,9;25;0,2;9;13
小麦胚芽油;Wheat germ oil;0;810;90;16,7;0;0;0;0;0
小麦麸皮;Wheat bran, raw;18;265;5;0,7;45,1;14,9;3,1;2;3,8
小麦粉（烘焙用，550型）;Wheat flour, bakery, type 550;70;345;1;0,3;3,2;12;0,8;2,1;0,3
半白小麦粉（720型）;Wheat flour, semi white, type 720;66;340;2;0,2;5;13;1;2,7;0,5
高灰分小麦粉（1100型）;Wheat flour, high ash, type 1100;65;340;2;0,3;5,7;13,5;1,5;1,7;0,6
全麦小麦粉（1700型）;Wheat flour, wholemeal, type 1700;61;340;2;0,3;11;13,5;2,5;17;1
精白小麦粉（400型）;Wheat flour, white, type 400;71;350;1;0,3;3,2;11,5;0,6;1,5;0,3
小麦烩饭（已煮）;Wheat risotto, cooked;28;175;3;0,4;6,2;5,1;3,5;440;1,7
小麦淀粉;Wheat starch;86;350;0;0;1,2;0,4;0;2;0
全麦面包;Wholewheat bread;38;215;1;0,2;6,9;8,6;1,9;580;0,7
味美思酒（15 vol%）;Vermouth, 15 vol%;14;140;0;0;0;0,1;0;20;13,5
维也纳香肠;Wienerli (Swiss sausage);1;245;20;7,8;0;13,9;;870;0,6
煮维也纳香肠;Wienerli (Swiss sausage), cooked;1;235;20;7,6;0;13,5;;720;0,6
生野味肉（平均）;Game meat (average), raw;0;115;3;1,5;0;21,1;1,2;70;0
野味肉酱;Terrine, game meat;2;290;23;9,1;0,2;17,3;3,5;870;1,6
生野猪肉;Wild boar, raw;0;110;3;1,5;0;19,5;6;94;0
蒸皱叶甘蓝（无盐）;Savoy cabbage, steamed (without addition of salt);3;35;0;0;2,6;2,8;2,5;7,5;2,8
生皱叶甘蓝;Savoy cabbage, raw;3;35;0;0;2,6;2,8;2,6;8,7;2,8
奶酪香肠沙拉（已制）;Cheese and sausage salad, prepared;1;265;23;9,4;0,2;13,9;5,6;560;0,6
香肠沙拉（已制）;Sausage salad, prepared;2;230;21;5,5;0,4;7,1;0,1;650;1,2
蒸根茎类蔬菜（平均，无盐）;Root and tuber vegetables (average), steamed (without addition of salt);7;40;0;0;3,1;1,1;1,6;34;6,4
炖根茎类蔬菜（平均，无油无盐）;Root and tuber vegetables (average), stewed (without addition of fat and salt);6;35;0;0;2,7;1;1,5;37;5,6
煮根茎类蔬菜（平均，无油无盐）;Root and tuber vegetables (average), boiled (without addition of fat and salt);6;40;0;0;2,9;1;1,5;22;6,1
生根茎类蔬菜（平均）;Root and tuber vegetables (average), raw;6;40;0;0;2,8;1;1,6;38;5,8
扎波内香肠;Zampone;0;365;32;10,4;0;19,1;0;1380;0
生山羊肉;Goat (average), raw;0;150;8;3,6;0;19,5;1;50;0
山羊奶;Goat milk;4;70;4;2,6;0;3,4;4,6;40;4,4
白齐格奶酪;Ziger white;3;125;7;4,3;0;11,1;0;33;3,3
肉桂星形饼干;Cinnamon cookie, star-shaped;49;485;25;1,9;6,8;11,9;2;44;49
新鲜柠檬;Lemon, fresh;3;25;0;0;2;0,8;1,5;4;2,5
柠檬汁;Lemon juice;6;30;0;0;0,4;0,4;0,6;21;6,1
生柑橘类水果（平均）;Citrus fruits (average), raw;8;45;0;0;1,6;0,8;1;3,3;8,3
西葫芦皮卡塔（已制）;Zucchini piccata, prepared;6;155;11;4,3;1;5,4;9,2;250;2
炖西葫芦（无油无盐）;Zucchini, stewed (without addition of fat and salt);3;25;0;0;1,3;2,4;3;4;2,5
生西葫芦;Zucchini, raw;2;20;0;0;1;1,8;2,3;3;1,9
面包糠西葫芦片（已制）;Zucchini slices, breaded, prepared;13;130;6;0,6;1,5;5,2;6,5;270;2,1
红糖;Sugar, brown;98;390;0;0;0;0;0;40;97,6
白糖;Sugar, white;100;400;0;0;0;0;0;0;100
生菊苣;Sugar loaf chicory, raw;2;20;0;0;1,6;1,2;3,3;10;1,5
甜玉米罐头;Sweet corn canned;18;100;1;0,2;2,3;3;0;300;6,9
加热甜玉米罐头（无盐）;Sweet corn (canned), heated (without addition of salt);19;110;1;0,2;2,4;3,2;0;270;7,3
楚格樱桃派;Cherry pie from Zug;35;335;19;8,5;1,5;4,8;4,2;62;27
舌头（平均，小牛/牛）;Tongue (average of veal and beef), raw;3;190;12;4,4;0;16,6;2,3;83;0
煮西梅李子（沥干，无添加糖）;Prune plum, stewed, drained (without addition of sugar);11;55;0;0;2,8;0,7;0,1;2,5;10,9
新鲜西梅李子;Prune plum, fresh;9;45;0;0;2,3;0,6;0,1;2;8,8
西梅李子派（酥皮，烘烤）;Prune plum pie, baked (with puff pastry);15;135;7;3,8;1,8;2,5;2,6;93;7,7
西梅李子派（蛋糕面团，烘烤）;Prune plum pie, baked (with cake dough);17;125;5;2,6;2;2,9;2,6;100;7,7
面包干;Rusk;70;430;10;4,9;2,6;14,7;49;800;14,4
全麦面包干;Rusk wholemeal;61;415;9;4;7,8;17,7;51;740;13,9
炖洋葱（无油无盐）;Onion, stewed (without addition of fat and salt);8;50;0;0;2,2;1,6;2,1;3,6;8,4
烤洋葱（无油无盐）;Onion, roasted, brown (without addition of fat and salt);17;95;1;0;4,3;3,1;4,3;9;16,7
生洋葱;Onion, raw;7;40;0;0;1,8;1,3;1,8;3,8;7
洋葱蛋奶饼（酥皮，烘烤）;Onion quiche, baked (with puff pastry);13;180;12;6,2;1,5;4,6;4,1;380;5,1
洋葱蛋奶饼（蛋糕面团，烘烤）;Onion quiche, baked (with cake dough);15;175;10;5;1,6;5;4,1;390;5,1
